season,player,position,age,team,games,player_efficiency_rating,points,rebounds,assists,steals,blocks
2017,Jonas Jerebko,PF,29,BOS,78,9.3,299,273,71,26,17
2017,Jonas Valanciunas,C,24,TOR,80,20.1,959,759,57,37,63
2017,Jonathan Gibson,PG,29,DAL,17,9.5,106,22,26,8,0
2017,Jonathon Simmons,SG,27,SAS,78,9.9,483,160,126,47,25
2017,Jordan Clarkson,SG,24,LAL,82,13.1,1205,246,213,88,8
2017,Jordan Crawford,SG,28,NOP,19,17.6,267,34,57,11,2
2017,Jordan Farmar,PG,30,SAC,2,14.4,12,3,9,2,0
2017,Jordan Hill,C,29,MIN,7,5.5,12,14,0,1,0
2017,Jordan McRae,SG,25,CLE,37,9.7,161,40,19,8,6
2017,Jordan Mickey,PF,22,BOS,25,9.8,38,34,7,3,6
2017,Jose Calderon,PG,35,LAL,24,9.1,80,42,51,7,1
2017,Jose Calderon,PG,35,ATL,17,8.7,61,32,37,4,0
2017,Josh Huestis,PF,25,OKC,2,26.1,14,9,3,0,3
2017,Josh McRoberts,PF,29,MIA,22,9.8,107,74,50,10,4
2017,Josh Richardson,SG,23,MIA,53,10.7,539,168,140,60,39
2017,Jrue Holiday,PG,26,NOP,67,17.1,1029,264,488,100,43
2017,Juan Hernangomez,PF,21,DEN,62,13.3,305,187,29,29,12
2017,Julius Randle,PF,22,LAL,74,16.3,975,636,264,49,37
2017,Justin Anderson,SF,23,DAL,51,14.7,329,149,32,28,16
2017,Justin Anderson,SF,23,PHI,24,12.8,203,96,34,13,7
2017,Justin Hamilton,C,26,BRK,64,13.6,442,262,55,29,43
2017,Justin Harper,PF,27,PHI,3,4.9,12,5,2,0,0
2017,Justin Holiday,SG,27,NYK,82,12.7,629,225,102,65,31
2017,Justise Winslow,SF,20,MIA,18,8.2,196,94,66,27,6
2017,Jusuf Nurkic,C,22,DEN,45,15,358,260,60,25,36
2017,Jusuf Nurkic,C,22,POR,20,21.1,304,207,63,25,38
2017,K.J. McDaniels,SF,23,HOU,29,10.2,80,30,4,7,8
2017,K.J. McDaniels,SF,23,BRK,20,12.5,126,52,9,12,10
2017,Karl-Anthony Towns,C,21,MIN,82,26,2061,1007,220,57,103
2017,Kawhi Leonard,SF,25,SAS,74,27.5,1888,430,260,132,55
2017,Kay Felder,PG,21,CLE,42,11.2,166,41,58,18,7
2017,Kelly Olynyk,C,25,BOS,75,15.2,678,360,148,43,29
2017,Kelly Oubre,SF,21,WAS,79,9.1,501,260,47,58,17
2017,Kemba Walker,PG,26,CHO,79,21.3,1830,308,435,85,22
2017,Kenneth Faried,PF,27,DEN,61,20.3,587,461,55,43,40
2017,Kent Bazemore,SF,27,ATL,73,11.5,801,231,177,91,52
2017,Kentavious Caldwell-Pope,SG,23,DET,76,12.8,1047,248,193,89,12
2017,Kevin Durant,SF,28,GSW,62,27.6,1555,513,300,66,99
2017,Kevin Love,PF,28,CLE,60,21.1,1142,666,116,53,22
2017,Kevin Seraphin,PF,27,IND,49,14.4,232,142,23,7,20
2017,Kevon Looney,C,20,GSW,53,13.4,135,124,29,14,17
2017,Khris Middleton,SF,25,MIL,29,15,426,123,99,41,7
2017,Klay Thompson,SG,26,GSW,78,17.4,1742,285,160,66,40
2017,Kosta Koufos,C,27,SAC,71,13.8,470,403,47,36,48
2017,Kris Dunn,PG,22,MIN,78,8.1,293,166,188,78,36
2017,Kris Humphries,PF,31,ATL,56,13.6,257,206,29,15,21
2017,Kristaps Porzingis,PF,21,NYK,66,17.4,1196,475,97,47,130
2017,Kyle Anderson,SG,23,SAS,72,12.5,246,208,91,51,26
2017,Kyle Korver,SG,35,ATL,32,10.9,305,90,75,23,13
2017,Kyle Korver,SG,35,CLE,35,13.5,373,97,35,11,8
2017,Kyle Lowry,PG,30,TOR,60,22.9,1344,288,417,88,19
2017,Kyle O'Quinn,C,26,NYK,79,20.5,496,439,117,36,104
2017,Kyle Singler,SF,28,OKC,32,5.9,88,48,9,7,5
2017,Kyle Wiltjer,PF,24,HOU,14,6.7,13,10,2,3,1
2017,Kyrie Irving,PG,24,CLE,72,23,1816,230,418,83,25
2017,Lamar Patterson,SG,25,ATL,5,-1.9,9,7,6,1,0
2017,LaMarcus Aldridge,PF,31,SAS,72,18.6,1243,524,139,46,89
2017,Lance Stephenson,SG,26,NOP,6,10.3,58,18,29,2,1
2017,Lance Stephenson,SG,26,MIN,6,6.6,21,10,5,0,0
2017,Lance Stephenson,SG,26,IND,6,10.3,43,24,25,3,2
2017,Lance Thomas,PF,28,NYK,46,8.4,275,142,35,21,5
2017,Langston Galloway,PG,25,NOP,55,11.2,471,121,65,40,5
2017,Langston Galloway,PG,25,SAC,19,8,114,35,28,6,1
2017,Larry Nance,PF,24,LAL,63,15.8,449,369,96,82,40
2017,Larry Sanders,C,28,CLE,5,6.5,4,4,0,1,1
2017,Lavoy Allen,PF,27,IND,61,11.6,177,220,57,18,24
2017,Leandro Barbosa,SG,34,PHO,67,11.5,419,104,81,31,8
2017,LeBron James,SF,32,CLE,74,27,1954,640,646,92,44
2017,Lou Williams,SG,30,LAL,58,23.9,1078,132,183,65,10
2017,Lou Williams,SG,30,HOU,23,15.4,343,70,56,15,9
2017,Luc Mbah,SF,30,LAC,80,10.3,484,174,39,81,35
2017,Lucas Nogueira,C,24,TOR,57,15.5,253,243,42,52,90
2017,Luis Scola,PF,36,BRK,36,13.9,184,139,37,14,4
2017,Luke Babbitt,SF,27,MIA,68,8.4,324,142,36,21,11
2017,Luol Deng,SF,31,LAL,56,10.1,425,295,74,48,20
2017,Malachi Richardson,SG,21,SAC,22,9.6,79,23,11,5,1
2017,Malcolm Brogdon,SG,24,MIL,75,14.9,767,213,317,84,12
2017,Malcolm Delaney,PG,27,ATL,73,7.5,391,124,193,39,1
2017,Malik Beasley,SG,20,DEN,22,13.7,83,17,11,7,0
2017,Manny Harris,SG,27,DAL,4,-2.2,8,9,2,0,0
2017,Manu Ginobili,SG,39,SAS,69,13.9,517,157,183,82,16
2017,Marc Gasol,C,32,MEM,74,20.2,1446,462,338,67,99
2017,Marcelo Huertas,PG,33,LAL,23,9.1,63,24,52,10,2
2017,Marcin Gortat,C,32,WAS,82,15.5,883,849,121,40,65
2017,Marco Belinelli,SG,30,CHO,74,13.3,780,178,147,44,9
2017,Marcus Georges-Hunt,SG,22,ORL,5,10.2,14,9,3,1,0
2017,Marcus Morris,SF,27,DET,79,12.4,1105,366,160,52,25
2017,Marcus Smart,SG,22,BOS,79,12,835,306,364,125,34
2017,Marcus Thornton,SG,29,WAS,33,10.4,219,76,41,19,3
2017,Mario Hezonja,SF,21,ORL,65,7.2,317,146,62,30,14
2017,Markieff Morris,PF,27,WAS,76,13.7,1063,492,126,82,42
2017,Marquese Chriss,PF,19,PHO,82,12.3,753,348,60,67,70
2017,Marreese Speights,C,29,LAC,82,17.6,711,373,66,23,41
2017,Marshall Plumlee,C,24,NYK,21,10.9,40,51,10,4,4
2017,Marvin Williams,PF,30,CHO,76,13.7,849,498,106,58,53
2017,Mason Plumlee,C,26,POR,54,18.9,597,433,214,50,63
2017,Mason Plumlee,C,26,DEN,27,16.3,245,173,70,19,29
2017,Matt Barnes,SF,36,SAC,54,10.2,413,296,149,36,17
2017,Matt Barnes,SF,36,GSW,20,10.7,114,91,45,12,9
2017,Matthew Dellavedova,PG,26,MIL,76,9.4,577,147,357,53,0
2017,Maurice Harkless,SF,23,POR,77,13.2,773,341,89,85,70
2017,Maurice Ndour,PF,24,NYK,32,11.3,98,64,8,15,8
2017,Metta World,SF,37,LAL,25,6.2,57,20,11,9,2
2017,Meyers Leonard,PF,24,POR,74,8.9,401,236,71,13,28
2017,Michael Beasley,PF,28,MIL,56,17.8,528,193,53,28,27
2017,Michael Carter-Williams,PG,25,CHI,45,9.9,297,152,113,38,23
2017,Michael Gbinije,SG,24,DET,9,-2.1,4,3,2,0,0
2017,Michael Kidd-Gilchrist,SF,23,CHO,81,14.3,743,565,114,81,77
2017,Mike Conley,PG,29,MEM,69,23.2,1415,242,433,92,19
2017,Mike Dunleavy,SF,36,CLE,23,7.6,106,47,20,6,2
2017,Mike Dunleavy,SF,36,ATL,30,11.9,169,68,30,9,5
2017,Mike Miller,SF,36,DEN,20,7.8,28,39,22,2,0
2017,Mike Muscala,C,25,ATL,70,14.4,435,240,95,30,41
2017,Mike Scott,PF,28,ATL,18,5.9,45,37,17,4,3
2017,Mike Tobey,C,22,CHO,2,-0.1,2,3,1,0,0
2017,Miles Plumlee,C,28,MIL,32,8,82,53,18,11,9
2017,Miles Plumlee,C,28,CHO,13,9,31,42,3,7,4
2017,Mindaugas Kuzminskas,SF,27,NYK,68,12.4,425,126,69,29,11
2017,Mirza Teletovic,PF,31,MIL,70,8.8,451,162,48,12,13
2017,Monta Ellis,SG,31,IND,74,10,630,204,236,79,27
